      No    Time           Source                   Destination           Protocol Length   Info
     99 41.372462133   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=29/7424, ttl=64 (reply in 100)
    100 41.372591476   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=29/7424, ttl=64 (request in 99)
    101 41.792455806   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=7/1792, ttl=64 (reply in 102)
    102 41.792587384   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=7/1792, ttl=64 (request in 101)
    103 42.102694839   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
    104 42.396453953   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=30/7680, ttl=64 (reply in 105)
    105 42.396615423   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=30/7680, ttl=64 (request in 104)
    106 42.812455645   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=8/2048, ttl=64 (reply in 107)
    107 42.812589319   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=8/2048, ttl=64 (request in 106)
    108 43.424442083   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=31/7936, ttl=64 (reply in 109)
    109 43.424570310   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=31/7936, ttl=64 (request in 108)
    110 43.836458500   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=9/2304, ttl=64 (reply in 111)
    111 43.836591196   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=9/2304, ttl=64 (request in 110)
    112 44.107942237   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
    113 44.444461618   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=32/8192, ttl=64 (reply in 114)
    114 44.444589844   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=32/8192, ttl=64 (request in 113)
    115 44.860458072   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=10/2560, ttl=64 (reply in 116)
    116 44.860588393   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=10/2560, ttl=64 (request in 115)
    117 45.468460072   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=33/8448, ttl=64 (reply in 118)
    118 45.468591930   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=33/8448, ttl=64 (request in 117)
    119 45.676138328   Cisco_d4:1c:04        Cisco_d4:1c:04        LOOP     60     Reply
    120 45.888455002   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=11/2816, ttl=64 (reply in 121)
    121 45.888585463   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=11/2816, ttl=64 (request in 120)
    122 46.112790989   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
    123 46.492458737   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=34/8704, ttl=64 (reply in 124)
    124 46.492590315   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=34/8704, ttl=64 (request in 123)
    125 46.912454854   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=12/3072, ttl=64 (reply in 126)
    126 46.912618908   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=12/3072, ttl=64 (request in 125)
    127 47.516459147   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=35/8960, ttl=64 (reply in 128)
    128 47.516592262   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=35/8960, ttl=64 (request in 127)
    129 47.932456579   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=13/3328, ttl=64 (reply in 130)
    130 47.932588018   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=13/3328, ttl=64 (request in 129)
    131 48.117464304   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
    132 48.540463398   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=36/9216, ttl=64 (reply in 133)
    133 48.540594208   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=36/9216, ttl=64 (request in 132)
    134 48.956456361   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=14/3584, ttl=64 (reply in 135)
    135 48.956591780   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=14/3584, ttl=64 (request in 134)
    136 49.564470583   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=37/9472, ttl=64 (reply in 137)
    137 49.564602371   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=37/9472, ttl=64 (request in 136)
    138 49.980464663   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=15/3840, ttl=64 (reply in 139)
    139 49.980595892   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=15/3840, ttl=64 (request in 138)
    140 50.122429758   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
